id,title,description,link,image_link,price ,availability,condition ,mobile_link,product_typebrand,,colour,material,variant_names,variant_value1,variant_value2,variant_value3,varaint_value4,variant_value5,variant_value6,variant_value7,variant_value8,variant_value9,variant_value10,variant_value11,variant_value12,variant_value13,variant_value14,variant_value15,variant_value16,variant_value17,variant_value18,variant_value19,variant_value20,google_product_category
11,Whiskey Stave Table Lamp - Bespoke ,"These gorgeous Whiskey Stave Table Lamps are made to order and each one of them is totally unique. 

We cant make these quick enough, they never spend longer than a couple of days on the shelf in our studio!",https://www.mooboohome.co.uk/shop/p_2758428/whiskey-stave-table-lamp-bespoke,https://drive.google.com/file/d/16XB9PB_EIZscvnFG_TSmLaP4cZZ_HWGx/view?usp=sharing,"GBP120,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2758428/whiskey-stave-table-lamp-bespoke,Bespoke > Table Lamps ,MooBoo Home,black,wood,,,,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
12,Cage Shades,"We have these specially made for us by a master lamp shade maker. 
They are finished to match with our Old English Brass components and can be used on table lamps, wall lights, and ceiling pendants. ",https://www.mooboohome.co.uk/shop/p_2692161/cage-shades,https://drive.google.com/file/d/1S12eWm_lnT85ctDFObaKLCHF75Cp-GdH/view?usp=sharing,"GBP20,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2692161/cage-shades,Bespoke > Table Lamps ,MooBoo Home,black,metal,"name, price","Large Pumpkin, £35","Small Barrel, £20","Small Pumpkin, £20",,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
13,Ceiling Pendant - Custom Build ,"Replace your old white ceiling cap and plastic cable with one of our custom built sets. 
You will receive a ceiling cap, cord grip, cable and lamp holder in colours of your choice and lamp holder. ",https://www.mooboohome.co.uk/shop/p_2692146/ceiling-pendant-custom-built,https://drive.google.com/file/d/1kNjgchmc3KPDOX_0p3gSE4ZtjNA8XH3D/view?usp=sharing,GBP45.75,preorder,new,https://www.mooboohome.co.uk/shop/p_2692146/ceiling-pendant-custom-built,Bespoke > Chandeliers,MooBoo Home,black ,metal,"cable length, shade ring, price","150cm, with shade rings, £54","25cm, no shade ring, £45.75","50cm, no shade ring, £47","75cm, no shade ring, £48.25","100cm, no shade ring, £49.50","125cm, no shade ring, £50.75","150cm, no shade ring, £52","25cm, with shade ring, £47.75","50cm, with shade rings, £49","75cm, with shade ring, £50.25","100cm, with shade rings, £51.50","125cm, with shade rings, £54",,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Ceiling Light Fixtures 
14,Star Plug In Pendant Light ,"This lovely made to order pendant light is a fantastic Christmas tree topper, or hanging pendant light. 

Suitable for all year round use, as it's easy to change the bulb for different shapes and sizes.
",https://www.mooboohome.co.uk/shop/p_2589928/star-plug-in-pendant-light-,https://drive.google.com/file/d/1kQrfncL8fqu9JhkS6JcmYAwlXY0o1cpN/view?usp=sharing,"GBP60,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2589928/star-plug-in-pendant-light-,Bespoke > Ceiling Lights ,MooBoo Home,black ,metal,"type, colour, price","cable set only, brown, £60","dimmer, brown, £70","dimmer &hook, brown, £80","hook, brown, £70","cable set only, gold, £60","dimmer, gold, £70","dimmer & hook, gold, £80","hook, gold, £70","cable set only, green, £60","dimmer, green, £70","dimmer & hook, green,  £80","hook, green, £70",,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Ceiling Light Fixtures 
15,Plug In Pendant Set ,Plug in pendant sets are very versatile. You can hang them from shelves or hooks or wrap the cable around bed frames. ,https://www.mooboohome.co.uk/shop/p_2745816/plug-in-pendant-set,https://drive.google.com/file/d/1eWhxS57tcWvF50IXCnhotdnRwmHXYnrY/view?usp=sharing,"GBP35,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2745816/plug-in-pendant-set,Bespoke > Ceiling Lights ,MooBoo Home,black ,metal,"type, length, price","cable set only, 2m, £35","dimmer, 2m, £45","dimmer & hook, 2m, £55","hook, 2m, £45","cable set only, 3m, £40","dimmer, 3m, £50","dimmer & hook, 3m, £60","hook, 3m, £50","cable set only, 4m, £45","dimmer, 4m, £55","dimmer & hook, 4m, £65","hook, 4m, £55","cable set only, 5m, £50","dimmer, 5m, £60","dimmer & hook, 5m, £70","hook, 5m, £60","cable set only, 6m, £55","dimmer, 6m, £65","dimmer & hook, 6m, £75","hook, 6m, £65",Home &Garden > Lighting & Lighting Fixtures > Ceiling Light Fixtures 
16,Star Christmas Tree Topper ,"This lovely, made to order pendant light can be a fantastic Christmas tree topper, or hanging pendant light. 
",https://www.mooboohome.co.uk/shop/p_2757799/star-christmas-tree-topper,https://drive.google.com/file/d/1bHvQnzXES-G-ym-7goOtK3KD3kkY37Ze/view?usp=sharing,"GBP60,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2757799/star-christmas-tree-topper,Bespoke > Ceiling Lights ,MooBoo Home,brown,metal,"cable set option, colour","hook, green, £70","cable set only, brown, £60","cable set only, gold, £60","cable set only, green, £60","dimmer, brown, £70","dimmer, gold, £70","dimmer, green, £70","dimmer and hook, brown, £80","dimmer and hook, gold, £80","dimmer and hook, green, £80","hook, brown, £70","hook, gold, £70",,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Ceiling Light Fixtures 
17,Reclaimed Wooden Beam Chandelier Ceiling Barn Light Pendant for Exposed Vintage ,"Perfect for the dining room as a feature over your dining table, a wonderful way of adding warmth to a living room or kitchen island. Want something special hanging over your bed? We can design a light that's personal to you",https://www.mooboohome.co.uk/shop/p_2589282/reclaimed-wooden-beam-chandelier-ceiling-barn-light-pendant-for-exposed-vintage-bulbs-custom-built,https://drive.google.com/file/d/1dIRuSvKrrmTYGQdD3ZzitN2nsiEPJ_rz/view?usp=sharing,"GBP245,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2589282/reclaimed-wooden-beam-chandelier-ceiling-barn-light-pendant-for-exposed-vintage-bulbs-custom-built,Bespoke > Chandeliers ,MooBoo Home,brown,wood,"number of bulb holders, length (approximately) , price ","3 bulb holders, 40cm long, £300","4 bulb holders, 50cm, £300","5 bulb holders, 60cm, £330","6 bulb holders, 70cm, £360","7 bulb holders, 80cm, £390","8 bulb holders, 90cm, £410","9 bulb holders, 1m, £450","10 bulb holders, 1m10cm, £480","11 bulb holders, 1m20cm, £510","12 bulb holders, 1m30cm, £550","13 bulb holders, 1m40cm, £580",,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Chandeliers 
18,Theatre Footlight Personalised Table Lamp ,This is our very special solid brass stage footlight lamp. It is perfect for an opening night or to become a gift for a theatrical person in your life. ,https://www.mooboohome.co.uk/shop/p_2572140/theatre-footlight-personalised-table-lamp-,https://drive.google.com/file/d/18mj2KnspQI5liKOB8JirMUosZ09x0aSZ/view?usp=sharing,"GBP119,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2572140/theatre-footlight-personalised-table-lamp-,Bespoke > Table Lamps ,MooBoo Home,brown,wood,personalisation,yes,no,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
19,Love Heart 'Angel' Table Lamp,Our stunning 'Angel' lamp is made from reclaimed timber and comes complete with a love heart vintage amber glass bulb. ,https://www.mooboohome.co.uk/shop/p_2572127/love-heart-angel-table-lamp-,https://drive.google.com/file/d/1dTdRpKFTatsl3ivcs9d83_jG2UdMuwhy/view?usp=sharing,"GBP109,99",preorder,new,https://www.mooboohome.co.uk/shop/p_2572127/love-heart-angel-table-lamp-,Bespoke > Table Lamps ,MooBoo Home,brown,wood,personalisation,yes,no,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
20, 'Angel' Table Lamp,"Our stunning 'Angel' lamp is made from reclaimed timber and it is shown with a Crown Teardrop Bulb (£13,99).",https://www.mooboohome.co.uk/shop/p_2572130/-angel-table-lamp-,https://drive.google.com/file/d/1q9T8lKqu6n37j_5bwI8uIOF3cjxSbJj2/view?usp=sharing,"GBP79,99",preorder,new,https://www.mooboohome.co.uk/shop/p_2572130/-angel-table-lamp-,Bespoke > Table Lamps ,MooBoo Home,brown,wood,personalisation,yes,no,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
21,Star 'Angel' Table Lamp,Our stunning 'Angel' lamp is made from reclaimed timber and comes complete with a tubular vintage amber glass bulb. ,https://www.mooboohome.co.uk/shop/p_2572131/star-angel-table-lamp-,https://drive.google.com/file/d/1ZfLfR928N_V6ZIqlZ-bAXKNLGNSyoh9F/view?usp=sharing+E23,"GBP99,99",preorder,new,https://www.mooboohome.co.uk/shop/p_2572131/star-angel-table-lamp-,Bespoke > Table Lamps ,MooBoo Home,brown,wood,personalisation,yes,no,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Wall Light Fixtures 
22,Advance Hnaging Kit for Chandeliers,"At busy times our lead time can be a bit long, but we appreciate that work might be happening in your home or business now, or an electrician might be booked soon, and waiting might not be an option. ",https://www.mooboohome.co.uk/shop/p_2529206/advance-hanging-kit-for-chandeliers,https://drive.google.com/file/d/1Gl6HCgZhy62fd2GYy3_RPDVf3vEP6lxG/view?usp=sharing,"GBP14,50",preorder,new,https://www.mooboohome.co.uk/shop/p_2529206/advance-hanging-kit-for-chandeliers,Bespoke > Hanging Kits ,MooBoo Home,black,metal,type,plus kit,standard kit,,,,,,,,,,,,,,,,,,,Home &Garden > Lighting & Lighting Fixtures > Ceiling Light Fixtures 
23,Bespoke Desk ,"This desk is made from reclaimed scaffold planks, using pipes to raise the monitor shelf up high and steel cross legs.
",https://www.mooboohome.co.uk/shop/p_2667130/bespoke-desk,https://drive.google.com/file/d/1x3L4H5GfKiy_vTo2DXqp7uMcMNeMkDUF/view?usp=sharing,"GBP340,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2667130/bespoke-desk,Bespoke > Furniture,MooBoo Home,brown,wood,number of boards,3 boards,4 boards,,,,,,,,,,,,,,,,,,,Furniture > Office Furniture > Desks
24,The 'Laid Back' Acoustic Speaker,"This acoustic speaker doesn't need cables or batteries, it is perfect to use in the garden, park or at the beach, the sound from you phone can be brilliantly amplified in this unique handmade passive speaker.
",https://www.mooboohome.co.uk/shop/p_2637240/the-laid-back-acoustic-speaker,https://drive.google.com/file/d/1yxvoysw47x0_FEKuX-23SZPnu-UlyKZy/view?usp=sharing,"GBP150,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2637240/the-laid-back-acoustic-speaker,Bespoke > Speakers,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Electronics > Audio > Audio Accessories > Speaker Accessories > Speaker Components & Kits
25,The 'Boombox' Acoustic Speaker ,"This acoustic speaker doesn't need cables or batteries, it is perfect to use in the garden, park or at the beach and the sound from you phone can be brilliantly amplified in this unique handmade passive speaker.",https://www.mooboohome.co.uk/shop/p_2637247/the-boombox-acoustic-speaker-,https://drive.google.com/file/d/1Jf5xFqYukprxQA3Ku4cXZcnCQfKSWKA0/view?usp=sharing,"GBP165,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2637247/the-boombox-acoustic-speaker-,Bespoke > Speakers,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Electronics > Audio > Audio Accessories > Speaker Accessories > Speaker Components & Kits
26,The '80's Tape Deck' Acoustic Speaker,"This speaker, inspired by an 80's tape deck, uses 3 layers of reclaimed Victorian pine floorboard. A channel lined with either aluminum or copper (your choice) carries the sound from the speaker in your phone and out of the 'horns' at the front. The result is a mixture of gentle amplification, a curiosity and a highly practical, robust gift!",https://www.mooboohome.co.uk/shop/p_2640583/the-80-s-tape-deck-acoustic-speaker-,https://drive.google.com/file/d/1dlrFHBMAl-sDo2XnQcINabdwOTxr3a7w/view?usp=sharing,"GBP140,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2640583/the-80-s-tape-deck-acoustic-speaker-,Bespoke > Speakers,MooBoo Home,brown,wood,,,,,,,,,,,,,,,,,,,,,,Electronics > Audio > Audio Accessories > Speaker Accessories > Speaker Components & Kits
27,Whiskey Barrel Clock ,"As they are made from reclaimed whiskey barrel lids, each one clock is unique. 

The sizes vary from 50-60cm in diameter and the colour and the patina will be unique to each clock.",https://www.mooboohome.co.uk/shop/p_2531098/whiskey-barrel-clock-,https://drive.google.com/file/d/1QI3mlQU59AEctslA0btVGmrF2-USUw0T/view?usp=sharing,"GBP160,00",preorder,new,https://www.mooboohome.co.uk/shop/p_2531098/whiskey-barrel-clock-,Bespoke > Clocks,MooBoo Home,brown,wood,"clock mechanism, numbers finish","black, colour, £162.50","black, gloss black, £162.50","black, matt black, £162.50","black, wooden, £160","gold, colour, £162.50","gold, gloss black, £162.50","gold, matt black, £162.50+AA28","gold, wooden, £160","rose gold, colour, £162.50","rose gold, gloss black, £162.50","rose gold, matt black, £162.50","rose gold, wooden, £160","silver, colour, 3162.50","silver, gloss black, £162.50","silver, matt black, £162.50","silver, wooden, £160",,,,,Home & Garden > Décor > Clocks > Wall Clocks 
